date,weekday,holiday_name,holiday_type
2022-01-01,Saturday,New Year's Day,National holiday
2022-01-03,Monday,New Year's Day observed,National holiday
2022-01-04,Tuesday,2nd January (substitute day),Local holiday
2022-01-05,Wednesday,Twelfth Night,Observance
2022-01-06,Thursday,Epiphany,Observance
2022-01-07,Friday,Orthodox Christmas Day,Observance
2022-01-14,Friday,Orthodox New Year,Observance
2022-01-17,Monday,Tu B'Shevat (Arbor Day),Observance
2022-01-25,Tuesday,Burns Night,Local observance
2022-02-01,Tuesday,Lunar New Year,Observance
2022-02-14,Monday,Valentine's Day,Observance
2022-02-28,Monday,Maha Shivaratri,Observance
2022-03-01,Tuesday,Isra and Mi'raj,Observance
2022-03-01,Tuesday,St. David's Day,Local observance
2022-03-01,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Observance
2022-03-02,Wednesday,Carnival / Ash Wednesday,Observance
2022-03-17,Thursday,Purim,Observance
2022-03-17,Thursday,St Patrick's Day,Local holiday
2022-03-18,Friday,Holi,Observance
2022-03-20,Sunday,March Equinox,Season
2022-03-27,Sunday,Mother's Day,Observance
2022-03-27,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
2022-04-03,Sunday,Ramadan Start,Observance
2022-04-10,Sunday,Palm Sunday,Observance
2022-04-14,Thursday,Maundy Thursday,Observance
2022-04-15,Friday,Good Friday,National holiday
2022-04-16,Saturday,Holy Saturday,Observance
2022-04-16,Saturday,First day of Passover,Observance
2022-04-17,Sunday,Easter Sunday,Observance
2022-04-18,Monday,Easter Monday,Local observance
2022-04-18,Monday,Easter Monday,Christian
2022-04-22,Friday,Orthodox Good Friday,Observance
2022-04-22,Friday,Stephen Lawrence Day,Observance
2022-04-23,Saturday,Last day of Passover,Observance
2022-04-23,Saturday,Orthodox Holy Saturday,Observance
2022-04-23,Saturday,St. George's Day,Observance
2022-04-23,Saturday,Shakespeare Day,Observance
2022-04-24,Sunday,Orthodox Easter,Observance
2022-04-25,Monday,Orthodox Easter Monday,Observance
2022-04-25,Monday,St. George's Day,Observance
2022-04-28,Thursday,Yom HaShoah,Observance
2022-04-28,Thursday,Laylatul Qadr (Night of Power),Observance
2022-05-02,Monday,Eid ul Fitr,Observance
2022-05-02,Monday,Early May Bank Holiday,National holiday
2022-05-05,Thursday,Yom HaAtzmaut,Observance
2022-05-19,Thursday,Lag B'Omer,Observance
2022-05-26,Thursday,Ascension Day,Observance
2022-06-02,Thursday,Spring Bank Holiday,National holiday
2022-06-03,Friday,Queen Elizabeth II's Platinum Jubilee,National holiday
2022-06-05,Sunday,Pentecost,Observance
2022-06-05,Sunday,Shavuot,Observance
2022-06-06,Monday,Whit Monday,Observance
2022-06-11,Saturday,Queen Elizabeth II's Birthday,Observance
2022-06-12,Sunday,Trinity Sunday,Observance
2022-06-16,Thursday,Corpus Christi,Observance
2022-06-19,Sunday,Father's Day,Observance
2022-06-21,Tuesday,June Solstice,Season
2022-06-22,Wednesday,Windrush Day,Observance
2022-07-09,Saturday,Eid al-Adha,Observance
2022-07-10,Sunday,Eid al-Adha,Observance
2022-07-12,Tuesday,Battle of the Boyne,Local holiday
2022-07-30,Saturday,Muharram/Islamic New Year,Observance
2022-08-01,Monday,Summer Bank Holiday,Common local holiday
2022-08-07,Sunday,Tisha B'Av,Observance
2022-08-08,Monday,Ashura,Observance
2022-08-11,Thursday,Raksha Bandhan,Observance
2022-08-15,Monday,Assumption of Mary,Observance
2022-08-18,Thursday,Janmashtami (Smarta),Observance
2022-08-19,Friday,Janmashtami,Observance
2022-08-29,Monday,Summer Bank Holiday,Common local holiday
2022-08-30,Tuesday,Ganesh Chaturthi,Observance
2022-09-19,Monday,State Funeral of Queen Elizabeth II,National holiday
2022-09-23,Friday,September Equinox,Season
2022-09-26,Monday,Navaratri,Observance
2022-09-26,Monday,Rosh Hashana,Observance
2022-10-04,Tuesday,Feast of St Francis of Assisi,Observance
2022-10-04,Tuesday,Dussehra,Observance
2022-10-05,Wednesday,Yom Kippur,Observance
2022-10-08,Saturday,Milad un Nabi (Mawlid),Observance
2022-10-10,Monday,First day of Sukkot,Observance
2022-10-16,Sunday,Hoshana Rabbah,Observance
2022-10-17,Monday,Shemini Atzeret,Observance
2022-10-18,Tuesday,Simchat Torah,Observance
2022-10-24,Monday,Diwali/Deepavali,Observance
2022-10-30,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
2022-10-31,Monday,Halloween,Observance
2022-11-01,Tuesday,All Saints' Day,Observance
2022-11-02,Wednesday,All Souls' Day,Observance
2022-11-05,Saturday,Guy Fawkes Day,Observance
2022-11-13,Sunday,Remembrance Sunday,Observance
2022-11-27,Sunday,First Sunday of Advent,Observance
2022-11-30,Wednesday,St Andrew's Day,Local holiday
2022-12-08,Thursday,Feast of the Immaculate Conception,Observance
2022-12-19,Monday,First Day of Hanukkah,Observance
2022-12-21,Wednesday,December Solstice,Season
2022-12-24,Saturday,Christmas Eve,Observance
2022-12-25,Sunday,Christmas Day,National holiday
2022-12-26,Monday,Last day of Hanukkah,Observance
2022-12-26,Monday,Boxing Day,National holiday
2022-12-27,Tuesday,Substitute Bank Holiday for Christmas Day,National holiday
2022-12-31,Saturday,New Year's Eve,Observance
2023-01-01,Sunday,New Year's Day,National holiday
2023-01-02,Monday,New Year's Day observed,National holiday
2023-01-03,Tuesday,2nd January (substitute day),Local holiday
2023-01-05,Thursday,Twelfth Night,Observance
2023-01-06,Friday,Epiphany,Observance
2023-01-07,Saturday,Orthodox Christmas Day,Observance
2023-01-14,Saturday,Orthodox New Year,Observance
2023-01-22,Sunday,Lunar New Year,Observance
2023-01-25,Wednesday,Burns Night,Local observance
2023-02-06,Monday,Tu B'Shevat (Arbor Day),Observance
2023-02-14,Tuesday,Valentine's Day,Observance
2023-02-18,Saturday,Maha Shivaratri,Observance
2023-02-18,Saturday,Isra and Mi'raj,Observance
2023-02-21,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Observance
2023-02-22,Wednesday,Carnival / Ash Wednesday,Observance
2023-03-01,Wednesday,St. David's Day,Local observance
2023-03-07,Tuesday,Purim,Observance
2023-03-17,Friday,St Patrick's Day,Local holiday
2023-03-19,Sunday,Mother's Day,Observance
2023-03-20,Monday,March Equinox,Season
2023-03-23,Thursday,Ramadan Start,Observance
2023-03-26,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
2023-04-02,Sunday,Palm Sunday,Observance
2023-04-06,Thursday,Maundy Thursday,Observance
2023-04-06,Thursday,First day of Passover,Observance
2023-04-07,Friday,Good Friday,National holiday
2023-04-08,Saturday,Holy Saturday,Observance
2023-04-09,Sunday,Easter Sunday,Observance
2023-04-10,Monday,Easter Monday,Christian
2023-04-10,Monday,Easter Monday,Local observance
2023-04-13,Thursday,Last day of Passover,Observance
2023-04-14,Friday,Orthodox Good Friday,Observance
2023-04-15,Saturday,Orthodox Holy Saturday,Observance
2023-04-16,Sunday,Orthodox Easter,Observance
2023-04-17,Monday,Laylatul Qadr (Night of Power),Observance
2023-04-17,Monday,Orthodox Easter Monday,Observance
2023-04-18,Tuesday,Yom HaShoah,Observance
2023-04-22,Saturday,Eid ul Fitr,Observance
2023-04-22,Saturday,Stephen Lawrence Day,Observance
2023-04-23,Sunday,St. George's Day,Observance
2023-04-23,Sunday,St. George's Day,Observance
2023-04-23,Sunday,Shakespeare Day,Observance
2023-04-26,Wednesday,Yom HaAtzmaut,Observance
2023-05-01,Monday,Early May Bank Holiday,National holiday
2023-05-09,Tuesday,Lag B'Omer,Observance
2023-05-18,Thursday,Ascension Day,Observance
2023-05-26,Friday,Shavuot,Observance
2023-05-28,Sunday,Pentecost,Observance
2023-05-29,Monday,Whit Monday,Observance
2023-05-29,Monday,Spring Bank Holiday,National holiday
2023-06-04,Sunday,Trinity Sunday,Observance
2023-06-08,Thursday,Corpus Christi,Observance
2023-06-12,Monday,King's Birthday,Observance
2023-06-18,Sunday,Father's Day,Observance
2023-06-21,Wednesday,June Solstice,Season
2023-06-22,Thursday,Windrush Day,Observance
2023-06-29,Thursday,Eid al-Adha,Observance
2023-07-12,Wednesday,Battle of the Boyne,Local holiday
2023-07-19,Wednesday,Muharram/Islamic New Year,Observance
2023-07-27,Thursday,Tisha B'Av,Observance
2023-07-28,Friday,Ashura,Observance
2023-08-07,Monday,Summer Bank Holiday,Common local holiday
2023-08-15,Tuesday,Assumption of Mary,Observance
2023-08-28,Monday,Summer Bank Holiday,Common local holiday
2023-09-06,Wednesday,Janmashtami (Smarta),Observance
2023-09-07,Thursday,Janmashtami,Observance
2023-09-16,Saturday,Rosh Hashana,Observance
2023-09-23,Saturday,September Equinox,Season
2023-09-25,Monday,Yom Kippur,Observance
2023-09-27,Wednesday,Milad un Nabi (Mawlid),Observance
2023-09-30,Saturday,First day of Sukkot,Observance
2023-10-04,Wednesday,Feast of St Francis of Assisi,Observance
2023-10-06,Friday,Hoshana Rabbah,Observance
2023-10-07,Saturday,Shemini Atzeret,Observance
2023-10-08,Sunday,Simchat Torah,Observance
2023-10-29,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
2023-10-31,Tuesday,Halloween,Observance
2023-11-01,Wednesday,All Saints' Day,Observance
2023-11-02,Thursday,All Souls' Day,Observance
2023-11-05,Sunday,Guy Fawkes Day,Observance
2023-11-12,Sunday,Diwali/Deepavali,Observance
2023-11-12,Sunday,Remembrance Sunday,Observance
2023-11-30,Thursday,St Andrew's Day,Local holiday
2023-12-03,Sunday,First Sunday of Advent,Observance
2023-12-08,Friday,Feast of the Immaculate Conception,Observance
2023-12-08,Friday,First Day of Hanukkah,Observance
2023-12-15,Friday,Last day of Hanukkah,Observance
2023-12-22,Friday,December Solstice,Season
2023-12-24,Sunday,Christmas Eve,Observance
2023-12-25,Monday,Christmas Day,National holiday
2023-12-26,Tuesday,Boxing Day,National holiday
2023-12-31,Sunday,New Year's Eve,Observance
